emp_no,birth_date,first_name,last_name,title,from_date,to_date
10095,1965-01-03,Hilari,Morton,Senior Staff,2000-03-09,9999-01-01
10122,1965-01-19,Ohad,Esposito,Technique Leader,1998-08-06,9999-01-01
10291,1965-01-23,Dipayan,Seghrouchni,Senior Staff,1994-03-30,9999-01-01
10410,1965-01-19,Takahito,Gecsei,Staff,1993-10-16,1996-07-21
10476,1965-01-01,Kokou,Iisaka,Senior Staff,1994-09-20,9999-01-01
10480,1965-01-25,Make,Baba,Staff,1988-05-18,1989-06-03
10663,1965-01-09,Teunis,Noriega,Technique Leader,1993-01-23,9999-01-01
10762,1965-01-19,Lech,Himler,Senior Staff,1999-01-21,9999-01-01
10933,1965-01-24,Juyoung,Seghrouchni,Senior Engineer,1993-08-02,9999-01-01
11015,1965-01-24,Jeanna,Riesenhuber,Senior Staff,1998-03-14,2000-02-22
11126,1965-01-08,Hideo,Daescu,Senior Staff,1999-02-25,2002-04-04
11157,1965-02-01,Mario,Cochrane,Engineer,1985-03-30,1991-02-06
11432,1965-01-15,Yongmao,Zwicker,Senior Engineer,1996-10-18,1997-09-13
12155,1965-01-21,Keiichiro,Glinert,Senior Engineer,2001-09-16,9999-01-01
12408,1965-01-10,Rasiah,Sudkamp,Senior Engineer,1995-04-18,9999-01-01
12643,1965-01-30,Morrie,Schurmann,Staff,1998-12-31,9999-01-01
13499,1965-01-16,Kazuhiko,Sidou,Technique Leader,1991-09-01,9999-01-01
13957,1965-01-10,Angus,Chelton,Senior Engineer,1986-04-18,1987-02-02
14075,1965-01-03,Denny,Tchuente,Engineer,1998-05-30,9999-01-01
14104,1965-01-03,Sudhanshu,Demian,Senior Staff,1999-07-23,9999-01-01
14127,1965-01-10,Magdalena,Cannard,Senior Engineer,2002-04-22,9999-01-01
14158,1965-01-22,Caolyn,Setiz,Senior Staff,1996-02-06,9999-01-01
14476,1965-01-19,Sastry,Marrevee,Engineer,1999-09-25,9999-01-01
14551,1965-01-18,Richard,Sinitsyn,Senior Staff,1993-06-27,1993-09-16
14907,1965-01-14,Nakhoon,Luga,Senior Staff,1994-12-18,9999-01-01
15050,1965-01-18,Nikolaos,Kruskal,Senior Engineer,1996-12-16,9999-01-01
15058,1965-01-30,Bouchung,Bugrara,Senior Staff,1998-06-18,9999-01-01
15376,1965-01-10,Geoff,Soicher,Senior Staff,1996-08-14,2001-03-01
15413,1965-01-17,Arvin,Rabejac,Senior Engineer,2002-01-01,9999-01-01
16461,1965-01-14,Remmert,Schahn,Senior Staff,1994-09-06,9999-01-01
16528,1965-01-21,Gaurav,Swick,Engineer,2001-05-07,9999-01-01
17013,1965-01-15,Morris,Garigliano,Senior Staff,2000-05-23,9999-01-01
17206,1965-01-02,Berry,DeMori,Senior Engineer,1998-12-27,9999-01-01
17369,1965-01-31,Yaghout,Kenevan,Senior Engineer,1998-01-28,9999-01-01
17447,1965-01-11,Zengping,Boreale,Staff,1998-12-16,9999-01-01
17618,1965-01-12,Teiji,Picco,Staff,1992-09-17,1999-11-08
17731,1965-01-16,Gennady,Roison,Engineer,1997-12-06,9999-01-01
17799,1965-01-28,Gro,Gini,Engineer,1997-09-28,2001-07-11
17970,1965-01-06,Filipp,Carrere,Technique Leader,1989-01-09,9999-01-01
17988,1965-01-31,Mabhin,Calkin,Senior Engineer,1997-11-30,9999-01-01
18021,1965-01-07,Adil,Matzke,Senior Engineer,1995-05-08,9999-01-01
18187,1965-01-08,Denis,Falster,Staff,1998-12-21,1999-06-03
18424,1965-01-19,Filipp,Rousseau,Senior Engineer,2002-06-07,9999-01-01
18583,1965-01-03,Stafford,Honglei,Staff,1998-08-16,9999-01-01
18617,1965-01-21,Surveyors,Crouzet,Senior Staff,1998-04-24,9999-01-01
18810,1965-01-09,Taiji,Jarecki,Senior Engineer,1999-06-27,9999-01-01
19236,1965-01-24,Elzbieta,Morris,Senior Engineer,1993-07-12,9999-01-01
19350,1965-01-19,Satoru,Yoshizawa,Senior Staff,1999-03-27,9999-01-01
19803,1965-01-30,Ziva,Kowalchuk,Senior Engineer,1992-06-12,9999-01-01
20100,1965-01-18,Utz,Heuter,Senior Staff,1995-06-15,9999-01-01
20128,1965-01-23,Kazunori,Peak,Senior Staff,1999-08-13,9999-01-01
20129,1965-01-10,Rafael,Skafidas,Senior Engineer,2000-03-27,9999-01-01
20248,1965-01-12,Vidar,Demri,Staff,1999-12-31,9999-01-01
20313,1965-01-24,Candida,Benveniste,Engineer,1999-01-20,9999-01-01
20500,1965-01-30,Christoph,Trystram,Senior Staff,1998-10-15,9999-01-01
20712,1965-01-26,Valeri,Escriba,Engineer,1994-04-09,1998-05-02
20720,1965-01-17,Heejo,Brodie,Senior Staff,1996-12-27,1997-05-17
20885,1965-01-21,Otmar,Rothenberg,Senior Engineer,1996-03-14,9999-01-01
21181,1965-01-21,Jianhui,Cangellaris,Engineer,1999-10-06,9999-01-01
21188,1965-01-21,Piyush,Danecki,Engineer,2000-01-08,9999-01-01
21534,1965-01-12,Alagu,Luders,Staff,1996-04-03,1997-12-14
21546,1965-01-01,Yongmin,Lanteri,Senior Staff,1988-02-16,9999-01-01
21843,1965-01-09,Karsten,Azadmanesh,Senior Engineer,1985-11-29,9999-01-01
21909,1965-01-04,Mohammed,Brizzi,Senior Staff,1998-12-28,9999-01-01
22027,1965-01-27,Sangeeta,Georg,Staff,1992-07-31,1998-03-14
22185,1965-01-29,Huai,Birch,Engineer,2002-03-26,9999-01-01
22415,1965-01-20,Perla,Jumpertz,Senior Staff,1994-08-24,9999-01-01
22451,1965-01-27,Jasminko,Bresenham,Senior Staff,1996-12-15,9999-01-01
22455,1965-01-06,Barry,Unno,Senior Staff,1999-11-16,9999-01-01
22502,1965-01-29,Rutger,Binkley,Senior Engineer,1989-10-16,2001-11-02
22926,1965-01-01,Manibrata,Genther,Senior Engineer,1996-01-15,9999-01-01
23396,1965-01-02,Hilari,Fairtlough,Technique Leader,1986-12-15,9999-01-01
24080,1965-01-26,Jaana,Perez,Technique Leader,1996-03-11,9999-01-01
24189,1965-01-16,Abdelaziz,Atrawala,Staff,1993-03-28,1997-02-23
24205,1965-01-25,Roddy,Rubsam,Senior Engineer,1993-09-19,9999-01-01
24377,1965-01-25,Lubomir,Wroclawski,Senior Engineer,2000-07-25,9999-01-01
24394,1965-01-04,Zhonghui,Conta,Staff,1994-09-10,9999-01-01
24421,1965-01-10,Dannz,Grospietsch,Senior Engineer,1990-09-01,2000-10-12
24553,1965-01-12,Anwar,Passafiume,Senior Staff,1994-01-30,9999-01-01
24571,1965-01-20,Cordelia,Gischer,Senior Engineer,1995-03-14,9999-01-01
25488,1965-01-19,Ingmar,Basawa,Senior Staff,1997-11-08,9999-01-01
26476,1965-01-19,Bilhanan,Karcich,Staff,1996-04-09,1997-02-04
26503,1965-01-27,Shietung,Billingsley,Senior Staff,1998-11-07,1998-12-02
26617,1965-01-06,Berto,Bruckman,Engineer,1991-11-23,1994-03-27
26629,1965-01-28,Nevin,Rodham,Senior Staff,1998-12-14,9999-01-01
26671,1965-01-21,Jiakeng,Kalorkoti,Senior Engineer,2001-12-25,9999-01-01
26788,1965-01-25,Zongyan,Dalphin,Senior Engineer,1993-04-23,9999-01-01
27150,1965-01-06,Chenyi,Plump,Staff,1992-06-23,1995-05-22
